New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
326,3,269,54,25621,709,22936,1976
3448,44,2428,976,262751,4195,234971,23585
414,3,210,201,21254,487,14559,6208
3834,5,2234,1595,142889,1803,112022,29064
1494,25,374,1095,123574,5271,80277,38026
997,33,933,31,111212,7967,95913,7332
300,3,136,161,25921,712,23072,2137
3491,30,3565,-104,266242,4225,238536,23481
317,7,262,48,21571,494,14821,6256
4601,28,2661,1912,147490,1831,114683,30976
1238,24,309,905,124812,5295,80586,38931
854,38,804,12,112066,8005,96717,7344
273,4,210,59,26194,716,23282,2196
3474,42,3355,77,269716,4267,241891,23558
254,14,409,-169,21825,508,15230,6087
2848,62,2458,328,150338,1893,117141,31304
1115,27,175,913,125927,5322,80761,39844
851,33,710,108,112917,8038,97427,7452
34,5,158,-129,26228,721,23440,2067
3614,45,2352,1217,273330,4312,244243,24775
222,7,260,-45,22047,515,15490,6042
2969,5,2538,426,153307,1898,119679,31730
973,137,1977,-1141,126900,5459,82738,38703
669,36,929,-296,113586,8074,98356,7156
37,18,542,-523,26265,739,23982,1544
3362,44,4577,-1259,276692,4356,248820,23516
226,6,271,-51,22273,521,15761,5991
2068,78,2307,-317,155375,1976,121986,31413
1116,63,1374,-321,128016,5522,84112,38382
809,50,919,-160,114395,8124,99275,6996
129,4,290,-165,26394,743,24272,1379
3567,44,1391,2132,280259,4400,250211,25648
312,4,312,-4,22585,525,16073,5987
2241,10,1890,341,157616,1986,123876,31754
1783,23,992,768,129799,5545,85104,39150
719,64,662,-7,115114,8188,99937,6989
26,5,196,-175,26420,748,24468,1204
3632,40,3963,-371,283891,4440,254174,25277
321,6,229,86,22906,531,16302,6073
2020,17,2361,-358,159636,2003,126237,31396
1774,87,779,908,131573,5632,85883,40058
595,57,874,-336,115709,8245,100811,6653
67,7,160,-100,26487,755,24628,1104
3340,45,2475,820,287231,4485,256649,26097
280,2,164,114,23186,533,16466,6187
2117,28,2674,-585,161753,2031,128911,30811
1883,20,511,1352,133456,5652,86394,41410
753,61,836,-144,116462,8306,101647,6509
47,5,245,-203,26534,760,24873,901
2379,44,4434,-2099,289610,4529,261083,23998
217,4,266,-53,23403,537,16732,6134
3971,4,3114,853,165724,2035,132025,31664
1600,16,115,1469,135056,5668,86509,42879
693,61,678,-46,117155,8367,102325,6463
91,4,172,-85,26625,764,25045,816
4212,45,4305,-138,293822,4574,265388,23860
145,3,215,-73,23548,540,16947,6061
1987,2,2083,-98,167711,2037,134108,31566
1061,15,78,968,136117,5683,86587,43847
569,31,697,-159,117724,8398,103022,6304
42,13,612,-583,26667,777,25657,233
3142,43,3417,-318,296964,4617,268805,23542
206,13,255,-62,23754,553,17202,5999
1498,12,3219,-1733,169209,2049,137327,29833
826,9,1043,-226,136943,5692,87630,43621
666,26,753,-113,118390,8424,103775,6191
65,2,280,-217,26732,779,25937,16
3437,57,2786,594,300401,4674,271591,24136
228,4,328,-104,23982,557,17530,5895
776,17,2127,-1368,169985,2066,139454,28465
948,50,662,236,137891,5742,88292,43857
447,25,349,73,118837,8449,104124,6264
114,9,382,-277,27064,797,26838,-571
3017,53,5010,-2046,313046,4871,289579,18596
113,9,370,-266,24925,587,18591,5747
1736,2,2483,-749,174125,2107,145702,26316
761,116,536,109,141519,5914,91036,44569
559,31,490,38,121830,8640,106031,7159
