New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
174,18,80,76,184707,8433,165798,10476
206,28,208,-30,148182,10714,135446,2022
126,0,44,82,47577,1212,44403,1962
757,20,687,50,411153,6711,397513,6929
157,5,332,-180,39981,970,35506,3505
1292,16,944,332,283922,3773,249076,31073
531,31,599,-99,185238,8464,166397,10377
215,20,252,-57,148397,10734,135698,1965
112,4,163,-55,47689,1216,44566,1907
416,18,586,-188,411569,6729,398099,6741
159,11,254,-106,40140,981,35760,3399
912,24,1382,-494,284834,3797,250458,30579
375,27,658,-310,185613,8491,167055,10067
290,31,251,8,148687,10765,135949,1973
73,3,193,-123,47762,1219,44759,1784
845,12,687,146,412414,6741,398786,6887
232,6,261,-35,40372,987,36021,3364
995,25,1288,-318,285829,3822,251746,30261
525,59,586,-120,186138,8550,167641,9947
271,27,233,11,148958,10792,136182,1984
65,1,37,27,47827,1220,44796,1811
906,21,566,319,413320,6762,399352,7206
229,5,319,-95,40601,992,36340,3269
1038,6,1593,-561,286867,3828,253339,29700
353,13,403,-63,186491,8563,168044,9884
255,28,249,-22,149213,10820,136431,1962
68,0,50,18,47895,1220,44846,1829
783,20,595,168,414103,6782,399947,7374
184,11,271,-98,40785,1003,36611,3171
1953,35,1324,594,288820,3863,254663,30294
524,12,764,-252,187015,8575,168808,9632
232,22,283,-73,149445,10842,136714,1889
81,4,32,45,47976,1224,44878,1874
732,26,584,122,414835,6808,400531,7496
137,10,261,-134,40922,1013,36872,3037
2209,4,1972,233,291029,3867,256635,30527
130,54,408,-332,187145,8629,169216,9300
225,19,207,-1,149670,10861,136921,1888
61,0,174,-113,48037,1224,45052,1761
809,16,690,103,415644,6824,401221,7599
140,10,202,-72,41062,1023,37074,2965
492,8,555,-71,291521,3875,257190,30456
138,40,445,-347,187283,8669,169661,8953
230,19,196,15,149900,10880,137117,1903
34,0,1,33,48301,1229,45193,1879
785,15,585,185,418185,6894,403754,7537
105,4,240,-139,41680,1045,38068,2567
400,10,602,-212,295178,3941,261889,29348
479,1,1145,-667,189264,8850,172608,7806
148,12,151,-15,150760,10966,137921,1873
39,0,15,24,48340,1229,45208,1903
632,16,547,69,418817,6910,404301,7606
97,13,165,-81,41777,1058,38233,2486
610,2,679,-71,295788,3943,262568,29277
162,21,445,-304,189426,8871,173053,7502
141,15,174,-48,150901,10981,138095,1825
22,0,99,-77,48362,1229,45307,1826
227,15,573,-361,419044,6925,404874,7245
94,5,266,-177,41871,1063,38499,2309
723,9,591,123,296511,3952,263159,29400
247,35,425,-213,189673,8906,173478,7289
183,28,229,-74,151084,11009,138324,1751
66,2,42,22,48428,1231,45349,1848
161,18,593,-450,419205,6943,405467,6795
135,5,158,-28,42006,1068,38657,2281
792,6,422,364,297303,3958,263581,29764
346,16,392,-62,190019,8922,173870,7227
164,17,164,-17,151248,11026,138488,1734
53,2,320,-269,48481,1233,45669,1579
421,25,0,396,419626,6968,405467,7191
136,8,170,-42,42142,1076,38827,2239
1361,26,1143,192,298664,3984,264724,29956
673,43,899,-269,190692,8965,174769,6958
202,25,273,-96,151450,11051,138761,1638
29,2,0,27,48510,1235,45669,1606
219,15,194,10,419845,6983,405661,7201
155,3,212,-60,42297,1079,39039,2179
1119,39,1605,-525,299783,4023,266329,29431
561,16,630,-85,191253,8981,175399,6873
227,21,230,-24,151677,11072,138991,1614
53,1,64,-12,48563,1236,45733,1594
611,19,197,395,420456,7002,405858,7596
227,10,190,27,42524,1089,39229,2206
1219,8,1521,-310,301002,4031,267850,29121
404,53,182,169,191657,9034,175581,7042
254,32,195,27,151931,11104,139186,1641
87,1,344,-258,48650,1237,46077,1336
895,20,96,779,421351,7022,405954,8375
269,10,225,34,42793,1099,39454,2240
1332,14,1325,-7,302334,4045,269175,29114
550,68,425,57,192207,9102,176006,7099
259,21,243,-5,152190,11125,139429,1636
62,2,84,-24,48712,1239,46161,1312
856,16,100,740,422207,7038,406054,9115
198,10,263,-75,42991,1109,39717,2165
1085,16,1482,-413,303419,4061,270657,28701
653,43,159,451,192860,9145,176165,7550
244,16,177,51,152434,11141,139606,1687
66,4,100,-38,48778,1243,46261,1274
932,12,397,523,423139,7050,406451,9638
138,6,212,-80,43129,1115,39929,2085
997,15,637,345,304416,4076,271294,29046
486,31,117,338,193346,9176,176282,7888
233,16,196,21,152667,11157,139802,1708
36,2,52,-18,48814,1245,46313,1256
867,12,340,515,424006,7062,406791,10153
152,6,185,-39,43281,1121,40114,2046
970,6,713,251,305386,4082,272007,29297
359,21,256,82,193705,9197,176538,7970
228,16,205,7,152895,11173,140007,1715
49,1,51,-3,48863,1246,46364,1253
819,10,302,507,424825,7072,407093,10660
149,7,200,-58,43430,1128,40314,1988
1420,19,1450,-49,306806,4101,273457,29248
905,14,880,11,194610,9211,177418,7981
227,20,206,1,153122,11193,140213,1716
89,2,9,78,48952,1248,46373,1331
384,14,506,-136,425209,7086,407599,10524
215,10,191,14,43645,1138,40505,2002
1024,13,1021,-10,307830,4114,274478,29238
692,28,332,332,195302,9239,177750,8313
217,22,183,12,153339,11215,140396,1728
44,0,23,21,48996,1248,46396,1352
617,11,516,90,425826,7097,408115,10614
190,6,191,-7,43835,1144,40696,1995
660,10,661,-11,308490,4124,275139,29227
547,23,248,276,195849,9262,177998,8589
257,20,126,111,153596,11235,140522,1839
156,2,45,109,49152,1250,46441,1461
940,18,586,336,426766,7115,408701,10950
186,7,204,-25,44021,1151,40900,1970
1370,15,1056,299,309860,4139,276195,29526
694,5,237,452,196543,9267,178235,9041
218,24,182,12,153814,11259,140704,1851
53,2,62,-11,49205,1252,46503,1450
602,19,908,-325,427368,7134,409609,10625
180,4,195,-19,44201,1155,41095,1951
1206,18,921,267,311066,4157,277116,29793
668,45,631,-8,197211,9312,178866,9033
246,19,206,21,154060,11278,140910,1872
72,3,72,-3,49277,1255,46575,1447
898,12,998,-112,428266,7146,410607,10513
211,9,169,33,44412,1164,41264,1984
927,7,893,27,311993,4164,278009,29820
1050,20,652,378,198261,9332,179518,9411
255,19,202,34,154315,11297,141112,1906
46,0,60,-14,49323,1255,46635,1433
1064,13,1004,47,429330,7159,411611,10560
176,12,167,-3,44588,1176,41431,1981
640,10,481,149,312633,4174,278490,29969
1005,9,272,724,199266,9341,179790,10135
217,17,159,41,154532,11314,141271,1947
153,2,279,-128,49476,1257,46914,1305
726,19,581,126,430056,7178,412192,10686
158,7,141,10,44746,1183,41572,1991
1316,24,1206,86,313949,4198,279696,30055
881,22,574,285,200147,9363,180364,10420
249,31,226,-8,154781,11345,141497,1939
119,1,30,88,49595,1258,46944,1393
519,11,509,-1,430575,7189,412701,10685
219,9,178,32,44965,1192,41750,2023
892,10,2041,-1159,314841,4208,281737,28896
851,23,121,707,200998,9386,180485,11127
225,22,170,33,155006,11367,141667,1972
69,0,55,14,49664,1258,46999,1407
602,20,587,-5,431177,7209,413288,10680
268,4,129,135,45233,1196,41879,2158
930,22,2877,-1969,315771,4230,284614,26927
739,42,159,538,201737,9428,180644,11665
239,28,204,7,155245,11395,141871,1979
100,3,87,10,49764,1261,47086,1417
715,21,501,193,431892,7230,413789,10873
206,7,145,54,45439,1203,42024,2212
1176,26,7637,-6487,316947,4256,292251,20440
687,28,452,207,202424,9456,181096,11872
260,25,207,28,155505,11420,142078,2007
142,3,23,116,49906,1264,47109,1533
906,20,815,71,432798,7250,414604,10944
299,5,161,133,45738,1208,42185,2345
952,22,1736,-806,317899,4278,293987,19634
887,53,572,262,203311,9509,181668,12134
301,22,255,24,155806,11442,142333,2031
89,2,33,54,49995,1266,47142,1587
1317,22,828,467,434115,7272,415432,11411
150,6,107,37,45888,1214,42292,2382
993,16,701,276,318892,4294,294688,19910
1034,18,116,900,204345,9527,181784,13034
244,26,180,38,156050,11468,142513,2069
47,0,32,15,50042,1266,47174,1602
1019,20,884,115,435134,7292,416316,11526
295,5,211,79,46183,1219,42503,2461
870,15,356,499,319762,4309,295044,20409
890,40,395,455,205235,9567,182179,13489
276,21,189,66,156326,11489,142702,2135
100,0,42,58,50142,1266,47216,1660
1197,20,874,303,436331,7312,417190,11829
253,5,207,41,46436,1224,42710,2502
1790,22,974,794,321552,4331,296018,21203
1451,28,1218,205,206686,9595,183397,13694
301,27,197,77,156627,11516,142899,2212
142,4,86,52,50284,1270,47302,1712
755,20,948,-213,437086,7332,418138,11616
237,8,200,29,46673,1232,42910,2531
1073,26,1001,46,322625,4357,297019,21249
1487,33,677,777,208173,9628,184074,14471
389,34,247,108,157016,11550,143146,2320
103,1,25,77,50387,1271,47327,1789
1376,14,1112,250,438462,7346,419250,11866
304,7,210,87,46977,1239,43120,2618
1562,11,850,701,324187,4368,297869,21950
1457,15,937,505,209630,9643,185011,14976
401,33,216,152,157417,11583,143362,2472
198,4,50,144,51201,1284,47673,2244
2769,19,935,1815,448070,7430,423218,17422
466,8,226,232,48751,1275,44006,3470
1243,9,712,522,328942,4422,302070,22450
2579,9,170,2400,215684,9783,186764,19137
418,29,205,184,159059,11707,144248,3104
255,3,53,199,51456,1287,47726,2443
2722,39,1034,1649,450792,7469,424252,19071
428,5,208,215,49179,1280,44214,3685
1532,16,1758,-242,330474,4438,303828,22208
1400,55,665,680,217084,9838,187429,19817
403,30,280,93,159462,11737,144528,3197
141,1,54,86,51597,1288,47780,2529
1502,20,1194,288,452294,7489,425446,19359
438,17,211,210,49617,1297,44425,3895
1793,11,1287,495,332267,4449,305115,22703
1658,16,885,757,218742,9854,188314,20574
499,40,245,214,159961,11777,144773,3411
157,3,38,116,51754,1291,47818,2645
2376,34,1271,1071,454670,7523,426717,20430
534,15,280,239,50151,1312,44705,4134
2599,15,1511,1073,334866,4464,306626,23776
1251,18,573,660,219993,9872,188887,21234
702,46,255,401,160663,11823,145028,3812
168,6,31,131,51922,1297,47849,2776
4144,50,1877,2217,458814,7573,428594,22647
595,18,270,307,50746,1330,44975,4441
2800,17,1105,1678,337666,4481,307731,25454
1752,52,967,733,221745,9924,189854,21967
722,53,339,330,161385,11876,145367,4142
249,1,166,82,52171,1298,48015,2858
4737,66,2110,2561,463551,7639,430704,25208
592,12,237,343,51338,1342,45212,4784
2791,48,1299,1444,340457,4529,309030,26898
1331,51,764,516,223076,9975,190618,22483
731,39,409,283,162116,11915,145776,4425
278,7,105,166,52449,1305,48120,3024
4894,60,2443,2391,468445,7699,433147,27599
638,10,275,353,51976,1352,45487,5137
2104,15,1046,1043,342561,4544,310076,27941
1877,33,237,1607,224953,10008,190855,24090
693,39,343,311,162809,11954,146119,4736
228,4,151,73,52677,1309,48271,3097
5582,69,2457,3056,474027,7768,435604,30655
665,15,280,370,52641,1367,45767,5507
2009,62,1006,941,344570,4606,311082,28882
2195,86,154,1955,227148,10094,191009,26045
739,50,376,313,163548,12004,146495,5049
333,7,87,239,53010,1316,48358,3336
5014,74,2835,2105,479041,7842,438439,32760
662,12,218,432,53303,1379,45985,5939
2718,28,1252,1438,347288,4634,312334,30320
3252,39,2195,1018,230400,10133,193204,27063
719,50,366,303,164267,12054,146861,5352
462,4,233,225,53472,1320,48591,3561
3221,59,3481,-319,482262,7901,441920,32441
675,15,260,400,53978,1394,46245,6339
3432,69,995,2368,350720,4703,313329,32688
2439,71,1656,712,232839,10204,194860,27775
746,41,383,322,165013,12095,147244,5674
275,9,220,46,53747,1329,48811,3607
4693,47,1191,3455,486955,7948,443111,35896
694,17,273,404,54672,1411,46518,6743
2911,38,1044,1829,353631,4741,314373,34517
2595,45,2016,534,235434,10249,196876,28309
873,51,422,400,165886,12146,147666,6074
599,5,197,397,54346,1334,49008,4004
7505,49,2438,5018,494460,7997,445549,40914
791,11,258,522,55463,1422,46776,7265
3053,83,1667,1303,356684,4824,316040,35820
4384,70,2239,2075,239818,10319,199115,30384
945,51,393,501,166831,12197,148059,6575
313,5,30,278,54659,1339,49038,4282
6934,69,2571,4294,501394,8066,448120,45208
783,16,277,490,56246,1438,47053,7755
3846,84,1260,2502,360530,4908,317300,38322
2118,104,1926,88,241936,10423,201041,30472
975,52,509,414,167806,12249,148568,6989
266,4,19,243,54925,1343,49057,4525
9271,51,2725,6495,510665,8117,450845,51703
782,22,233,527,57028,1460,47286,8282
3787,75,1196,2516,364317,4983,318496,40838
2305,52,563,1690,244241,10475,201604,32162
989,50,577,362,168795,12299,149145,7351
698,19,289,390,55623,1362,49346,4915
9393,51,3505,5837,520058,8168,454350,57540
831,19,308,504,57859,1479,47594,8786
3988,94,1219,2675,368305,5077,319715,43513
2288,69,420,1799,246529,10544,202024,33961
889,64,496,329,169684,12363,149641,7680
494,7,195,292,56117,1369,49541,5207
8348,80,3414,4854,528406,8248,457764,62394
859,32,330,497,58718,1511,47924,9283
4771,73,1191,3507,373076,5150,320906,47020
2143,56,1536,551,248672,10600,203560,34512
1081,66,558,457,170765,12429,150199,8137
521,9,201,311,56638,1378,49742,5518
7379,80,3505,3794,535785,8328,461269,66188
850,18,390,442,59568,1529,48314,9725
3908,112,1140,2656,376984,5262,322046,49676
2923,66,1478,1379,251595,10666,205038,35891
1065,78,547,440,171830,12507,150746,8577
486,17,74,395,57124,1395,49816,5913
7680,71,3522,4087,543465,8399,464791,70275
892,30,351,511,60460,1559,48665,10236
4473,90,2206,2177,381457,5352,324252,51853
2332,71,2018,243,253927,10737,207056,36134
1203,94,648,461,173033,12601,151394,9038
300,2,19,279,57424,1397,49835,6192
7541,46,3527,3968,551006,8445,468318,74243
895,37,364,494,61355,1596,49029,10730
6179,64,1301,4814,387636,5416,325553,56667
2624,177,1702,745,256551,10914,208758,36879
1397,74,695,628,174430,12675,152089,9666
302,5,20,277,57726,1402,49855,6469
9399,70,5013,4316,560405,8515,473331,78559
922,24,353,545,62277,1620,49382,11275
4920,37,1595,3288,392556,5453,327148,59955
2538,220,1156,1162,259089,11134,209914,38041
1388,82,787,519,175818,12757,152876,10185
715,7,21,687,58441,1409,49876,7156
9701,16,5682,4003,570106,8531,479013,82562
1358,36,424,898,63635,1656,49806,12173
5393,37,2275,3081,397949,5490,329423,63036
3224,188,1501,1535,262313,11322,211415,39576
1439,80,637,722,177257,12837,153513,10907
621,17,25,579,59062,1426,49901,7735
10485,66,5816,4603,580591,8597,484829,87165
1615,38,524,1053,65250,1694,50330,13226
4458,66,2129,2263,402407,5556,331552,65299
2955,91,951,1913,265268,11413,212366,41489
1468,89,728,651,178725,12926,154241,11558
541,3,25,513,59603,1429,49926,8248
10902,120,6597,4185,591493,8717,491426,91350
1465,32,623,810,66715,1726,50953,14036
6971,39,1666,5266,409378,5595,333218,70565
3447,130,1571,1746,268715,11543,213937,43235
1543,99,915,529,180268,13025,155156,12087
457,6,268,183,60060,1435,50194,8431
9439,137,6100,3202,600932,8854,497526,94552
1386,52,779,555,68101,1778,51732,14591
7239,49,3524,3666,416617,5644,336742,74231
4048,216,1741,2091,272763,11759,215678,45326
1808,122,1077,609,182076,13147,156233,12696
612,13,168,431,60672,1448,50362,8862
9365,142,3655,5568,610297,8996,501181,100120
1370,32,800,538,69471,1810,52532,15129
8591,68,3719,4804,425208,5712,340461,79035
3823,366,2747,710,276586,12125,218425,46036
2548,155,1045,1348,184624,13302,157278,14044
503,5,143,355,61175,1453,50505,9217
12974,136,10857,1981,623271,9132,512038,102101
1424,38,918,468,70895,1848,53450,15597
7772,136,3259,4377,432980,5848,343720,83412
4232,235,2239,1758,280818,12360,220664,47794
2551,165,1291,1095,187175,13467,158569,15139
514,4,49,461,61689,1457,50554,9678
13112,138,15022,-2048,636383,9270,527060,100053
1665,44,902,719,72560,1892,54352,16316
7399,160,4974,2265,440379,6008,348694,85677
4530,202,3042,1286,285348,12562,223706,49080
2530,168,1727,635,189705,13635,160296,15774
